id,sport,subject_type,subject,style,source_type,verified,title,channel,url,batch
175,f1,player,Max Verstappen,highlights,fan,meta,Max Verstappen: Unstoppable Force 🦁 | F1 Edit,SNIPSNAX,https://youtube.com/shorts/2utxs00Q110,
176,tennis,player,Jannik Sinner,slowmo,fan,meta,Jannik Sinner serve in slow motion 🚀,Hit With Me - Tennis Media,https://youtube.com/shorts/Xuq5TWBVPm4,
177,tennis,player,Carlos Alcaraz,skills;slowmo,fan,meta,Carlos Alcaraz Backhand Slow Motion,ATennis,https://youtube.com/shorts/ZWhJ34aLWzc,
178,tennis,generic,US Open,skills,official,eye,RIDICULOUS drop shot! 😮‍💨,US Open Tennis Championships,https://youtube.com/shorts/GItLCmlMe7Q,
179,tennis,player,Carlos Alcaraz,skills;slowmo,fan,meta,Carlos Alcaraz slow-motion forehand 💪,Hit With Me - Tennis Media,https://youtube.com/shorts/_Auu2hKtpBg,
180,tennis,player,Novak Djokovic,skills;slowmo,fan,meta,The Djoker's Serve (slow motion),Essential Tennis,https://youtube.com/shorts/bldnQQwQh2I,
181,tennis,player,Juan Martin del Potro,skills;slowmo,fan,meta,LETHAL Del Potro Forehand Super Slow Motion!,Topspin Tennis,https://youtube.com/shorts/TkdsvJXUdPI,
182,tennis,generic,Tennis,slowmo,fan,meta,Tennis Forehand power session,Stunning sports,https://youtube.com/shorts/Ru0So8W369M,
183,tennis,player,Carlos Alcaraz,slowmo;emotion,fan,meta,Alcaraz Slow Mo #usopen #slowmotion,Cinematic Short Films,https://youtube.com/shorts/ZyYt8_VNv5w,
184,tennis,generic,Tennis,highlights,fan,meta,What an AMAZING RALLY 🥵!,ADtennis,https://youtube.com/shorts/jv5lF0YLEz8,
185,tennis,player,Sinner vs Alcaraz,skills;slowmo,fan,meta,Sinner vs Alcaraz Forehand | Slow Motion Comparison,Quick Tennis,https://youtube.com/shorts/J8gIQTL9X_U,
186,dota2,generic,Ancient Apparition,skills,fan,eye,Ancient Apparition — The Eternal Kaldr | Dota 2 Hero Visualizer,Dota Cinematic Universe,https://youtube.com/shorts/gN3QKxJ-yz4,
187,dota2,generic,Dota 2,action,fan,meta,Anti-Mage vs Terrorblade | Dota 2 Cinematic Movie #cinematic,Mythos Cinema CGI,https://youtube.com/shorts/aXqu27DJguU,
188,dota2,generic,Dota 2,action,fan,meta,dota 2 cinema,Timeless,https://youtube.com/shorts/D3Zg86YEGro,
189,dota2,player,Topson,highlights,official,meta,TOPSON OR CAPTAIN AMERICA? 🛡,OG Esports,https://youtube.com/shorts/Tswh-T4oug8,
190,dota2,generic,Dota 2,highlights,fan,meta,"One Lich Ult, Everyone Dead 😱💥",Rampage Clip TV,https://youtube.com/shorts/K7WQNbvDEOA,
191,dota2,player,Cr1t,highlights,fan,meta,Falcons Cr1t THE SPACE CREATOR 🌌,Pirate,https://youtube.com/shorts/YIjNowdY4AI,
192,dota2,generic,Mirana,highlights,fan,meta,Mirana's Arrow Never Misses! 🎯🔥,Kenjutso,https://youtube.com/shorts/Y6lr4Q0TLlg,
193,dota2,generic,Ogre Magi,highlights,fan,meta,Ogre Magi Unleashed! 😈🔥,DotaMorph Nexus,https://youtube.com/shorts/WwWPGtKDOzU,
194,dota2,generic,Faceless Void,highlights,fan,meta,Faceless Void's Chrono Was Perfect 🤯🔥,RampageCLipTV2,https://youtube.com/shorts/HViqnMVDU8o,
195,dota2,generic,Faceless Void,highlights,fan,meta,Faceless Void's Chrono Was Devastating ⏳💀,Rampage Clip TV,https://youtube.com/shorts/6bUu9Gk0cmE,
196,boxing,generic,Boxing,knockout;slowmo,broadcaster,eye,Super Slow Motion Knockout,TrillerTV,https://youtube.com/shorts/uQM7q0rnb1E,
197,boxing,player,Jared Anderson,knockout;slowmo,fan,eye,Jared Anderson Super Slow Motion Brutal KOs Ibeh,sweetscience,https://youtube.com/shorts/bpmpMqjYg7g,
198,boxing,generic,Boxing,slowmo,fan,eye,Boxing in slow motion,CRENTHLIFE,https://youtube.com/shorts/Q-8gBTZm5Lc,
199,boxing,generic,Boxing,knockout;slowmo,broadcaster,eye,Knockout in super slow motion,FCCtv,https://youtube.com/shorts/0YtAtV0pFCs,
200,boxing,player,Israil Madrimov vs Michel Soro,highlights;slowmo,fan,eye,HIGHLIGHT: Israil Madrimov vs Michel Soro | Replay in Slow Mo,Thug Me White Lion 2,https://youtube.com/shorts/BxCZGne8YvM,
201,boxing,player,Muhammad Ali vs Joe Frazier,knockout;slowmo,fan,eye,Muhammad Ali Vs Joe Frazier Knockdown Slow Motion,Boxing TV,https://youtube.com/shorts/6SQ1oZUK4kY,
202,boxing,player,Manny Pacquiao vs Timothy Bradley,knockout;slowmo,fan,eye,Pacquiao vs Bradley slow motion knockout,Leeam sports tv,https://youtube.com/shorts/H7130sAM9UI,
203,boxing,player,Mike Tyson,punch;slowmo,fan,eye,Mike Tyson delivers a devastating uppercut with precision and power,Sweet.smooth.boxing,https://youtube.com/shorts/kWTgMSQcsGY,
204,boxing,player,Mike Tyson vs Evander Holyfield,slowmo,fan,eye,Mike Tyson vs Holyfield Slow Motion,CALEB Boxing,https://youtube.com/shorts/o_R7aWRsTtM,
205,boxing,player,Muhammad Ali vs Sonny Liston,punch;slowmo,fan,eye,Muhammad Ali V Sonny Liston Phantom Punch,THD Sports,https://youtube.com/shorts/UgSb5B7sAKI,
206,boxing,player,Muhammad Ali,punch;slowmo,fan,eye,Ali's phantom punch in super slow motion,Ahmadtarekbxng,https://youtube.com/shorts/_8VDLk6bwyI,
207,boxing,player,Diego Pacheco vs Adrian Luna,highlights;slowmo,fan,eye,World Boxing Highlight: Diego Pacheco vs Adrian Luna | Replay in Slow Mo,Thug Me White Lion 2,https://youtube.com/shorts/3XrrlYPbcdY,
208,dota2,generic,Alchemist,skills,fan,eye,Alchemist — Chemical Rage | Dota 2 Hero Visualizer,Dota Cinematic Universe,https://youtube.com/shorts/M3JmPXQQazg,
209,dota2,generic,Dota 2,action,fan,eye,"The World, but it's SFM Dota 2 cinematic",eMRK,https://youtube.com/shorts/kknpD6lRwLk,
210,dota2,generic,Dota 2,action,fan,eye,What If Dota Heroes Were Real? | Ultra Realistic AI Cinematic,MOSIKA,https://youtube.com/shorts/7c84bilcyEE,
211,dota2,generic,Dota 2,action,fan,eye,dota 2 cinema pudge medusa and phantom assassin,Timeless,https://youtube.com/shorts/lw6d2BaPnsQ,
212,dota2,generic,Dota 2,action,fan,eye,4 Dota Skills Reimagined in Real Life,MOSIKA,https://youtube.com/shorts/6Yocz1jP4CE,
213,dota2,generic,Abaddon,skills,fan,eye,Abaddon — Lord of Avernus | Dota 2 Hero Visualizer,Dota Cinematic Universe,https://youtube.com/shorts/Xt_QWcCvcOM,
214,dota2,generic,Phantom Assassin,skills,fan,eye,Hero Spotlight - Phantom Assassin,AncientFramesKing,https://youtube.com/shorts/LHXPhwHYhJc,
215,dota2,generic,Dota 2,action,fan,eye,Dota Event Movie,Tavern Cinema,https://youtube.com/shorts/Hgd562IIdR8,
216,dota2,generic,Drow Ranger,skills,fan,eye,Dread Retribution Drow Ranger Arcana Intro,MidasMITTY,https://youtube.com/shorts/19lKfnkYwW4,
217,dota2,generic,Drow Ranger,skills,fan,eye,Drow Ranger ARCANA (Style 2),Cyborg M - Dota 2,https://youtube.com/shorts/TI1EXdMJGHw,
218,dota2,generic,Juggernaut,skills,fan,eye,Hero Spotlight - Juggernaut,AncientFramesKing,https://youtube.com/shorts/4oTKeOOljBY,
219,dota2,generic,Invoker,skills,fan,eye,Hero Spotlight - Invoker,AncientFramesKing,https://youtube.com/shorts/7mgJRtsl2_w,
220,dota2,generic,Phantom Assassin,skills,fan,eye,Dota 2 Exile Unveiled | Phantom Assassin Persona Intro,MidasMITTY,https://youtube.com/shorts/CJVmU98tS4M,
221,dota2,generic,Dota 2,action,fan,eye,Dota 2 Short Film,Pinoy DotA,https://youtube.com/shorts/HIOfj5kuIC0,
222,hockey,team,Washington Capitals vs Los Angeles Kings,goal;slowmo,broadcaster,eye,Alex Ovechkin scores career goal No. 816 on one-timer vs. Kings #shorts,Monumental Sports Network,https://youtube.com/shorts/fLlHXjrFG40,20260826-match
223,hockey,team,Edmonton Oilers vs Dallas Stars,skills;slowmo,official,eye,More McDavid MAGIC,NHL,https://youtube.com/shorts/awqBsNy0qCU,20260826-match
224,tennis,player,Carlos Alcaraz vs Arthur Fils,skills;slowmo,fan,eye,Alcaraz drop volley slow mo against Arthur Fils,GOATS tennis,https://youtube.com/shorts/UYG_xsTE5J4,20260826-match
225,football,team,Liverpool vs Manchester United,goal;slowmo,broadcaster,eye,Cody Gakpo's equaliser against Man United in slow-motion,SuperSport,https://youtube.com/shorts/Xi3Q6MOwHLY,20260826-match
226,football,team,Arsenal vs Nottingham Forest,goal;slowmo,official,eye,Zubimendi volley in super slow mo,Arsenal,https://youtube.com/shorts/Qdk3H5b2tfc,20260826-match
227,basketball,team,Dallas Mavericks vs New Orleans Pelicans,skills;slowmo,fan,eye,Luka Magic in slow motion vs Pelicans (11.19.24),NBA LIV3,https://youtube.com/shorts/qT3zW_IbpHE,20260826-match
228,basketball,team,Russell Westbrook vs New Orleans Pelicans,action;slowmo,fan,eye,Westbrook vs New Orleans defense in slow-motion,HoopScorers,https://youtube.com/shorts/9ofDJ8NE1FI,20260826-match
229,hockey,team,Montreal Canadiens (Lane Hutson goal),goal;slowmo,official,eye,Bench couldn't BELIEVE this Hutson goal,NHL,https://youtube.com/shorts/bVoDbqqrQ8c,20260826-match
230,hockey,team,St. Louis Blues,goal;slowmo,official,eye,Crispy,NHL,https://youtube.com/shorts/dtQ3ULOXTG4,20260826-match
231,hockey,player,Washington Capitals — Evgeny Kuznetsov (shootout),skills;slowmo,official,eye,Snooznetsov,NHL,https://youtube.com/shorts/0T1HWQuAFB8,20260826-match
232,tennis,player,Carlos Alcaraz,skills;slowmo,fan,eye,Carlos Alcaraz serve in slow-mo,PlayYourCourt.com,https://youtube.com/shorts/rw7uyXAOoHM,20260826-match
233,tennis,player,Pablo Carreno Busta,skills;slowmo,fan,eye,Pablo Carreno Busta serve in slow motion (US Open),MPTennis,https://youtube.com/shorts/T3QoOBTM_qw,20260826-match
234,tennis,player,Roger Federer,skills;slowmo,fan,eye,Federer run-around forehand in slow motion,MnMTennis,https://youtube.com/shorts/GoQV2UCo7uA,20260826-match
235,tennis,player,Roberto Bautista Agut,skills;slowmo,fan,eye,Roberto Bautista Agut backhand in slow motion,Rafanoodles,https://youtube.com/shorts/r-TFgON6ros,20260826-match
236,tennis,player,Denis Shapovalov,skills;slowmo,fan,eye,Denis Shapovalov serve in slow motion (Indian Wells),Slow Motion Tennis,https://youtube.com/shorts/WN42Q_rAmdA,20260826-match
237,tennis,player,Richard Gasquet,skills;slowmo,fan,eye,Richard Gasquet backhand super slow motion,ATennis,https://youtube.com/shorts/0Mg_GJlfDwo,20260826-match
238,tennis,player,Roger Federer,skills;slowmo,fan,eye,Roger Federer backhand slow motion,Tennis Pro TV,https://youtube.com/shorts/lVRrQuKj2Aw,20260826-match
